ordem;nivel;cod_dim2;Zona Geográfica;População residente - Total;População residente - H;População residente - M;População presente - Total;População presente - H;População presente - M;Famílias - Clássicas ;Famílias - Institucionais;Núcleos familiares ;Alojamentos familiares - Total ;Alojamentos familiares - Clássicos;Alojamentos familiares - Não clássicos;Alojamentos colectivos;Edifícios clássicos
169265000;6;50426;                        Souto da Casa;807;372;435;786;362;424;362;0;257;754;754;0;0;726
169328000;6;50427;                        Telhado;618;298;320;607;293;314;262;0;198;471;469;2;0;456
169365000;6;50428;                        Vale de Prazeres;1267;587;680;1246;572;674;571;0;400;1229;1227;2;0;1220
169453000;6;50429;                        Valverde;1402;669;733;1329;620;709;518;0;449;752;752;0;0;711
169514000;6;50430;                        Mata da Rainha;149;67;82;148;67;81;81;0;57;232;232;0;0;230
169527000;6;50431;                        Enxames;520;265;255;491;248;243;212;0;163;355;355;0;0;350
169555000;4;16B;                Oeste;362540;175117;187423;349608;167325;182283;140696;191;112160;223479;223190;289;471;160794
169556000;5;1001;                    Alcobaça;56693;27457;29236;54155;26001;28154;21908;27;17461;34625;34578;47;59;26663
169557000;6;100101;                        Alcobaça;5751;2624;3127;5394;2429;2965;2405;6;1704;3405;3404;1;11;1009
169641000;6;100102;                        Alfeizerão;3854;1867;1987;3746;1806;1940;1514;2;1207;2509;2508;1;4;2274
169815000;6;100103;                        Alpedriz;777;389;388;737;362;375;314;0;241;440;436;4;0;412
169858000;6;100104;                        Bárrio;1523;762;761;1466;733;733;597;0;503;821;821;0;0;786
169909000;6;100105;                        Benedita;8635;4190;4445;8233;3968;4265;3077;5;2526;3894;3890;4;8;3057
170187000;6;100106;                        Cela;3264;1599;1665;3094;1497;1597;1242;1;1024;1720;1720;0;1;1682
170306000;6;100107;                        Coz;1895;910;985;1811;868;943;744;0;607;1003;1002;1;0;960
170369000;6;100108;                        Évora de Alcobaça;4485;2200;2285;4312;2089;2223;1670;3;1375;2315;2315;0;5;2256
170537000;6;100109;                        Maiorga;2050;978;1072;1912;911;1001;816;0;665;1154;1152;2;0;1033
170600000;6;100110;                        Pataias;5451;2692;2759;5214;2554;2660;2199;2;1768;3865;3857;8;6;3039
170820000;6;100111;                        Aljubarrota (Prazeres);4235;2055;2180;4013;1932;2081;1651;1;1341;2286;2268;18;1;1882
170944000;6;100112;                        São Martinho do Porto;2868;1351;1517;2791;1303;1488;1210;1;860;4891;4889;2;13;2427
171091000;6;100113;                        Aljubarrota (São Vicente);2404;1180;1224;2321;1124;1197;917;0;728;1286;1286;0;1;1247
171195000;6;100114;                        Turquel;4561;2229;2332;4360;2108;2252;1636;3;1366;2265;2261;4;3;1951
171392000;6;100115;                        Vestiaria;1258;612;646;1211;585;626;507;2;395;740;740;0;3;661
